global_id,prompt_id,annotator_name,nli_tag,p_value,label,label_span_percentage,num_of_spans
18,83,anonymous_annotator_1,Vanilla GPTJ,0.96,Redundant,0.0,0
18,83,anonymous_annotator_2,Vanilla GPTJ,0.96,Off-prompt,0.45,1
18,83,anonymous_annotator_2,Vanilla GPTJ,0.96,Self-Contradiction,0.08,1
18,83,anonymous_annotator_2,Vanilla GPTJ,0.96,Incoherent,0.03,2
18,83,anonymous_annotator_2,Vanilla GPTJ,0.96,Redundant,0.18,1
19,26,anonymous_annotator_1,Vanilla GPTJ,0.96,Off-prompt,0.0,0
19,26,anonymous_annotator_1,Vanilla GPTJ,0.96,Self-Contradiction,0.0,0
19,26,anonymous_annotator_1,Vanilla GPTJ,0.96,Incoherent,0.0,0
19,26,anonymous_annotator_1,Vanilla GPTJ,0.96,Redundant,0.0,0
19,26,anonymous_annotator_2,Vanilla GPTJ,0.96,Off-prompt,0.0,0
19,26,anonymous_annotator_2,Vanilla GPTJ,0.96,Self-Contradiction,0.0,0
19,26,anonymous_annotator_2,Vanilla GPTJ,0.96,Incoherent,0.0,0
19,26,anonymous_annotator_2,Vanilla GPTJ,0.96,Redundant,0.0,0
20,53,anonymous_annotator_1,Vanilla GPTJ,0.4,Off-prompt,1.0,1
20,53,anonymous_annotator_1,Vanilla GPTJ,0.4,Self-Contradiction,0.0,0
20,53,anonymous_annotator_1,Vanilla GPTJ,0.4,Incoherent,0.0,0
20,53,anonymous_annotator_1,Vanilla GPTJ,0.4,Redundant,0.0,0
20,53,anonymous_annotator_2,Vanilla GPTJ,0.4,Off-prompt,1.0,1
20,53,anonymous_annotator_2,Vanilla GPTJ,0.4,Self-Contradiction,0.62,1
20,53,anonymous_annotator_2,Vanilla GPTJ,0.4,Incoherent,0.0,0
20,53,anonymous_annotator_2,Vanilla GPTJ,0.4,Redundant,0.0,0
21,34,anonymous_annotator_1,Vanilla GPTJ,0.96,Off-prompt,0.0,0
21,34,anonymous_annotator_1,Vanilla GPTJ,0.96,Self-Contradiction,0.0,0
21,34,anonymous_annotator_1,Vanilla GPTJ,0.96,Incoherent,0.0,0
21,34,anonymous_annotator_1,Vanilla GPTJ,0.96,Redundant,0.0,0
21,34,anonymous_annotator_2,Vanilla GPTJ,0.96,Off-prompt,0.29,1
21,34,anonymous_annotator_2,Vanilla GPTJ,0.96,Self-Contradiction,0.29,1
21,34,anonymous_annotator_2,Vanilla GPTJ,0.96,Incoherent,0.0,0
21,34,anonymous_annotator_2,Vanilla GPTJ,0.96,Redundant,0.0,0
22,285,anonymous_annotator_1,NLI GPJ - CON,0.96,Off-prompt,0.0,0
22,285,anonymous_annotator_1,NLI GPJ - CON,0.96,Self-Contradiction,0.0,0
22,285,anonymous_annotator_1,NLI GPJ - CON,0.96,Incoherent,0.0,0
22,285,anonymous_annotator_1,NLI GPJ - CON,0.96,Redundant,0.0,0
22,285,anonymous_annotator_2,NLI GPJ - CON,0.96,Off-prompt,0.0,0
22,285,anonymous_annotator_2,NLI GPJ - CON,0.96,Self-Contradiction,0.0,0
22,285,anonymous_annotator_2,NLI GPJ - CON,0.96,Incoherent,0.0,0
22,285,anonymous_annotator_2,NLI GPJ - CON,0.96,Redundant,0.0,0
23,192,anonymous_annotator_1,NLI GPJ - ENT,0.96,Off-prompt,0.0,0
23,192,anonymous_annotator_1,NLI GPJ - ENT,0.96,Self-Contradiction,0.0,0
23,192,anonymous_annotator_1,NLI GPJ - ENT,0.96,Incoherent,0.0,0
23,192,anonymous_annotator_1,NLI GPJ - ENT,0.96,Redundant,0.12,2
23,192,anonymous_annotator_2,NLI GPJ - ENT,0.96,Off-prompt,0.18,1
23,192,anonymous_annotator_2,NLI GPJ - ENT,0.96,Self-Contradiction,0.0,0
23,192,anonymous_annotator_2,NLI GPJ - ENT,0.96,Incoherent,0.0,0
23,192,anonymous_annotator_2,NLI GPJ - ENT,0.96,Redundant,0.05,1
24,257,anonymous_annotator_1,NLI GPJ - CON,0.4,Off-prompt,1.0,1
24,257,anonymous_annotator_1,NLI GPJ - CON,0.4,Self-Contradiction,0.0,0
24,257,anonymous_annotator_1,NLI GPJ - CON,0.4,Incoherent,0.0,0
24,257,anonymous_annotator_1,NLI GPJ - CON,0.4,Redundant,0.0,0
24,257,anonymous_annotator_2,NLI GPJ - CON,0.4,Off-prompt,1.0,1
24,257,anonymous_annotator_2,NLI GPJ - CON,0.4,Self-Contradiction,0.0,0
24,257,anonymous_annotator_2,NLI GPJ - CON,0.4,Incoherent,0.0,0
24,257,anonymous_annotator_2,NLI GPJ - CON,0.4,Redundant,0.0,0
25,33,anonymous_annotator_1,Vanilla GPTJ,0.96,Off-prompt,0.0,0
25,33,anonymous_annotator_1,Vanilla GPTJ,0.96,Self-Contradiction,0.0,0
25,33,anonymous_annotator_1,Vanilla GPTJ,0.96,Incoherent,0.1,1
25,33,anonymous_annotator_1,Vanilla GPTJ,0.96,Redundant,0.34,2
25,33,anonymous_annotator_2,Vanilla GPTJ,0.96,Off-prompt,0.0,0
25,33,anonymous_annotator_2,Vanilla GPTJ,0.96,Self-Contradiction,0.0,0
25,33,anonymous_annotator_2,Vanilla GPTJ,0.96,Incoherent,0.09,1
25,33,anonymous_annotator_2,Vanilla GPTJ,0.96,Redundant,0.34,2
26,66,anonymous_annotator_1,Vanilla GPTJ,0.4,Off-prompt,0.0,0
26,66,anonymous_annotator_1,Vanilla GPTJ,0.4,Self-Contradiction,0.0,0
26,66,anonymous_annotator_1,Vanilla GPTJ,0.4,Incoherent,0.0,0
26,66,anonymous_annotator_1,Vanilla GPTJ,0.4,Redundant,0.09,2
26,66,anonymous_annotator_2,Vanilla GPTJ,0.4,Off-prompt,0.0,0
26,66,anonymous_annotator_2,Vanilla GPTJ,0.4,Self-Contradiction,0.0,0
26,66,anonymous_annotator_2,Vanilla GPTJ,0.4,Incoherent,0.0,0
26,66,anonymous_annotator_2,Vanilla GPTJ,0.4,Redundant,0.49,1
27,218,anonymous_annotator_1,NLI GPJ - CON,0.4,Off-prompt,0.54,2
27,218,anonymous_annotator_1,NLI GPJ - CON,0.4,Self-Contradiction,0.31,1
27,218,anonymous_annotator_1,NLI GPJ - CON,0.4,Incoherent,0.31,1
27,218,anonymous_annotator_1,NLI GPJ - CON,0.4,Redundant,0.0,0
27,218,anonymous_annotator_2,NLI GPJ - CON,0.4,Off-prompt,0.15,1
27,218,anonymous_annotator_2,NLI GPJ - CON,0.4,Self-Contradiction,0.15,1
27,218,anonymous_annotator_2,NLI GPJ - CON,0.4,Incoherent,0.0,0
27,218,anonymous_annotator_2,NLI GPJ - CON,0.4,Redundant,0.0,0
28,290,anonymous_annotator_1,NLI GPJ - CON,0.96,Off-prompt,0.11,1
28,290,anonymous_annotator_1,NLI GPJ - CON,0.96,Self-Contradiction,0.1,1
28,290,anonymous_annotator_1,NLI GPJ - CON,0.96,Incoherent,0.0,0
28,290,anonymous_annotator_1,NLI GPJ - CON,0.96,Redundant,0.07,1
28,290,anonymous_annotator_2,NLI GPJ - CON,0.96,Off-prompt,0.26,2
28,290,anonymous_annotator_2,NLI GPJ - CON,0.96,Self-Contradiction,0.11,1
28,290,anonymous_annotator_2,NLI GPJ - CON,0.96,Incoherent,0.0,0
28,290,anonymous_annotator_2,NLI GPJ - CON,0.96,Redundant,0.0,0
29,265,anonymous_annotator_1,NLI GPJ - CON,0.4,Off-prompt,0.29,1
29,265,anonymous_annotator_1,NLI GPJ - CON,0.4,Self-Contradiction,0.29,1
29,265,anonymous_annotator_1,NLI GPJ - CON,0.4,Incoherent,0.0,0
29,265,anonymous_annotator_1,NLI GPJ - CON,0.4,Redundant,0.05,1
29,265,anonymous_annotator_2,NLI GPJ - CON,0.4,Off-prompt,0.0,0
29,265,anonymous_annotator_2,NLI GPJ - CON,0.4,Self-Contradiction,0.29,1
29,265,anonymous_annotator_2,NLI GPJ - CON,0.4,Incoherent,0.0,0
29,265,anonymous_annotator_2,NLI GPJ - CON,0.4,Redundant,0.0,0
30,97,anonymous_annotator_1,Vanilla GPTJ,0.96,Off-prompt,0.06,1
30,97,anonymous_annotator_1,Vanilla GPTJ,0.96,Self-Contradiction,0.0,0
30,97,anonymous_annotator_1,Vanilla GPTJ,0.96,Incoherent,0.0,0
30,97,anonymous_annotator_1,Vanilla GPTJ,0.96,Redundant,0.18,1
30,97,anonymous_annotator_2,Vanilla GPTJ,0.96,Off-prompt,0.12,1
30,97,anonymous_annotator_2,Vanilla GPTJ,0.96,Self-Contradiction,0.0,0
30,97,anonymous_annotator_2,Vanilla GPTJ,0.96,Incoherent,0.0,0
30,97,anonymous_annotator_2,Vanilla GPTJ,0.96,Redundant,0.0,0
31,380,anonymous_annotator_1,NLI GPJ - NEU,0.96,Off-prompt,0.0,0
31,380,anonymous_annotator_1,NLI GPJ - NEU,0.96,Self-Contradiction,0.0,0
31,380,anonymous_annotator_1,NLI GPJ - NEU,0.96,Incoherent,0.0,0
31,380,anonymous_annotator_1,NLI GPJ - NEU,0.96,Redundant,0.18,1
31,380,anonymous_annotator_2,NLI GPJ - NEU,0.96,Off-prompt,0.0,0
31,380,anonymous_annotator_2,NLI GPJ - NEU,0.96,Self-Contradiction,0.0,0
31,380,anonymous_annotator_2,NLI GPJ - NEU,0.96,Incoherent,0.0,0
31,380,anonymous_annotator_2,NLI GPJ - NEU,0.96,Redundant,0.0,0
32,46,anonymous_annotator_1,Vanilla GPTJ,0.96,Off-prompt,0.62,2
32,46,anonymous_annotator_1,Vanilla GPTJ,0.96,Self-Contradiction,0.0,0
32,46,anonymous_annotator_1,Vanilla GPTJ,0.96,Incoherent,0.07,1
32,46,anonymous_annotator_1,Vanilla GPTJ,0.96,Redundant,0.0,0
32,46,anonymous_annotator_2,Vanilla GPTJ,0.96,Off-prompt,0.69,3
32,46,anonymous_annotator_2,Vanilla GPTJ,0.96,Self-Contradiction,0.0,0
32,46,anonymous_annotator_2,Vanilla GPTJ,0.96,Incoherent,0.07,1
32,46,anonymous_annotator_2,Vanilla GPTJ,0.96,Redundant,0.0,0
33,204,anonymous_annotator_1,NLI GPJ - CON,0.4,Off-prompt,0.0,0
33,204,anonymous_annotator_1,NLI GPJ - CON,0.4,Self-Contradiction,0.15,1
33,204,anonymous_annotator_1,NLI GPJ - CON,0.4,Incoherent,0.0,0
33,204,anonymous_annotator_1,NLI GPJ - CON,0.4,Redundant,0.03,1
33,204,anonymous_annotator_2,NLI GPJ - CON,0.4,Off-prompt,0.0,0
33,204,anonymous_annotator_2,NLI GPJ - CON,0.4,Self-Contradiction,0.0,0
33,204,anonymous_annotator_2,NLI GPJ - CON,0.4,Incoherent,0.1,1
33,204,anonymous_annotator_2,NLI GPJ - CON,0.4,Redundant,0.03,1
34,398,anonymous_annotator_1,NLI GPJ - NEU,0.96,Off-prompt,0.0,0
34,398,anonymous_annotator_1,NLI GPJ - NEU,0.96,Self-Contradiction,0.0,0
34,398,anonymous_annotator_1,NLI GPJ - NEU,0.96,Incoherent,0.0,0
34,398,anonymous_annotator_1,NLI GPJ - NEU,0.96,Redundant,0.27,1
34,398,anonymous_annotator_2,NLI GPJ - NEU,0.96,Off-prompt,0.16,1
34,398,anonymous_annotator_2,NLI GPJ - NEU,0.96,Self-Contradiction,0.0,0
34,398,anonymous_annotator_2,NLI GPJ - NEU,0.96,Incoherent,0.0,0
34,398,anonymous_annotator_2,NLI GPJ - NEU,0.96,Redundant,0.0,0
35,317,anonymous_annotator_1,NLI GPJ - NEU,0.4,Off-prompt,0.0,0
35,317,anonymous_annotator_1,NLI GPJ - NEU,0.4,Self-Contradiction,0.0,0
35,317,anonymous_annotator_1,NLI GPJ - NEU,0.4,Incoherent,0.0,0
35,317,anonymous_annotator_1,NLI GPJ - NEU,0.4,Redundant,0.0,0
35,317,anonymous_annotator_2,NLI GPJ - NEU,0.4,Off-prompt,0.0,0
35,317,anonymous_annotator_2,NLI GPJ - NEU,0.4,Self-Contradiction,0.0,0
35,317,anonymous_annotator_2,NLI GPJ - NEU,0.4,Incoherent,0.05,1
35,317,anonymous_annotator_2,NLI GPJ - NEU,0.4,Redundant,0.14,1
36,206,anonymous_annotator_1,NLI GPJ - CON,0.4,Off-prompt,0.0,0
36,206,anonymous_annotator_1,NLI GPJ - CON,0.4,Self-Contradiction,0.0,0
36,206,anonymous_annotator_1,NLI GPJ - CON,0.4,Incoherent,0.0,0
36,206,anonymous_annotator_1,NLI GPJ - CON,0.4,Redundant,0.24,1
36,206,anonymous_annotator_2,NLI GPJ - CON,0.4,Off-prompt,0.0,0
36,206,anonymous_annotator_2,NLI GPJ - CON,0.4,Self-Contradiction,0.0,0
36,206,anonymous_annotator_2,NLI GPJ - CON,0.4,Incoherent,0.0,0
36,206,anonymous_annotator_2,NLI GPJ - CON,0.4,Redundant,0.24,1
37,365,anonymous_annotator_1,NLI GPJ - NEU,0.4,Off-prompt,0.0,0
37,365,anonymous_annotator_1,NLI GPJ - NEU,0.4,Self-Contradiction,0.0,0
37,365,anonymous_annotator_1,NLI GPJ - NEU,0.4,Incoherent,0.0,0
37,365,anonymous_annotator_1,NLI GPJ - NEU,0.4,Redundant,0.24,1
37,365,anonymous_annotator_2,NLI GPJ - NEU,0.4,Off-prompt,0.24,1
37,365,anonymous_annotator_2,NLI GPJ - NEU,0.4,Self-Contradiction,0.0,0
37,365,anonymous_annotator_2,NLI GPJ - NEU,0.4,Incoherent,0.0,0
37,365,anonymous_annotator_2,NLI GPJ - NEU,0.4,Redundant,0.0,0
38,31,anonymous_annotator_1,Vanilla GPTJ,0.96,Off-prompt,0.0,0
38,31,anonymous_annotator_1,Vanilla GPTJ,0.96,Self-Contradiction,0.0,0
38,31,anonymous_annotator_1,Vanilla GPTJ,0.96,Incoherent,0.11,1
38,31,anonymous_annotator_1,Vanilla GPTJ,0.96,Redundant,0.06,1
38,31,anonymous_annotator_2,Vanilla GPTJ,0.96,Off-prompt,0.14,1
38,31,anonymous_annotator_2,Vanilla GPTJ,0.96,Self-Contradiction,0.0,0
38,31,anonymous_annotator_2,Vanilla GPTJ,0.96,Incoherent,0.0,0
38,31,anonymous_annotator_2,Vanilla GPTJ,0.96,Redundant,0.09,1
39,311,anonymous_annotator_1,NLI GPJ - NEU,0.4,Off-prompt,0.0,0
39,311,anonymous_annotator_1,NLI GPJ - NEU,0.4,Self-Contradiction,0.0,0
39,311,anonymous_annotator_1,NLI GPJ - NEU,0.4,Incoherent,0.0,0
39,311,anonymous_annotator_1,NLI GPJ - NEU,0.4,Redundant,0.0,0
39,311,anonymous_annotator_2,NLI GPJ - NEU,0.4,Off-prompt,0.0,0
39,311,anonymous_annotator_2,NLI GPJ - NEU,0.4,Self-Contradiction,0.0,0
39,311,anonymous_annotator_2,NLI GPJ - NEU,0.4,Incoherent,0.0,0
39,311,anonymous_annotator_2,NLI GPJ - NEU,0.4,Redundant,0.0,0
40,187,anonymous_annotator_1,NLI GPJ - ENT,0.96,Off-prompt,0.0,0
40,187,anonymous_annotator_1,NLI GPJ - ENT,0.96,Self-Contradiction,0.0,0
40,187,anonymous_annotator_1,NLI GPJ - ENT,0.96,Incoherent,0.0,0
40,187,anonymous_annotator_1,NLI GPJ - ENT,0.96,Redundant,0.0,0
40,187,anonymous_annotator_2,NLI GPJ - ENT,0.96,Off-prompt,0.0,0
40,187,anonymous_annotator_2,NLI GPJ - ENT,0.96,Self-Contradiction,0.0,0
40,187,anonymous_annotator_2,NLI GPJ - ENT,0.96,Incoherent,0.0,0
40,187,anonymous_annotator_2,NLI GPJ - ENT,0.96,Redundant,0.0,0
41,327,anonymous_annotator_1,NLI GPJ - NEU,0.96,Off-prompt,0.0,0
41,327,anonymous_annotator_1,NLI GPJ - NEU,0.96,Self-Contradiction,0.0,0
41,327,anonymous_annotator_1,NLI GPJ - NEU,0.96,Incoherent,0.0,0
41,327,anonymous_annotator_1,NLI GPJ - NEU,0.96,Redundant,0.0,0
41,327,anonymous_annotator_2,NLI GPJ - NEU,0.96,Off-prompt,0.39,1
41,327,anonymous_annotator_2,NLI GPJ - NEU,0.96,Self-Contradiction,0.0,0
41,327,anonymous_annotator_2,NLI GPJ - NEU,0.96,Incoherent,0.03,1
41,327,anonymous_annotator_2,NLI GPJ - NEU,0.96,Redundant,0.0,0
59,178,anonymous_annotator_1,NLI GPJ - ENT,0.96,Off-prompt,1.0,1
59,178,anonymous_annotator_1,NLI GPJ - ENT,0.96,Self-Contradiction,0.0,0
59,178,anonymous_annotator_1,NLI GPJ - ENT,0.96,Incoherent,0.0,0
59,178,anonymous_annotator_1,NLI GPJ - ENT,0.96,Redundant,0.0,0
59,178,anonymous_annotator_2,NLI GPJ - ENT,0.96,Off-prompt,1.0,1
59,178,anonymous_annotator_2,NLI GPJ - ENT,0.96,Self-Contradiction,0.0,0
59,178,anonymous_annotator_2,NLI GPJ - ENT,0.96,Incoherent,0.0,0
59,178,anonymous_annotator_2,NLI GPJ - ENT,0.96,Redundant,0.0,0
61,383,anonymous_annotator_1,NLI GPJ - NEU,0.96,Off-prompt,0.0,0
61,383,anonymous_annotator_1,NLI GPJ - NEU,0.96,Self-Contradiction,0.0,0
61,383,anonymous_annotator_1,NLI GPJ - NEU,0.96,Incoherent,0.0,0
61,383,anonymous_annotator_1,NLI GPJ - NEU,0.96,Redundant,0.0,0
61,383,anonymous_annotator_2,NLI GPJ - NEU,0.96,Off-prompt,0.0,0
61,383,anonymous_annotator_2,NLI GPJ - NEU,0.96,Self-Contradiction,0.0,0
61,383,anonymous_annotator_2,NLI GPJ - NEU,0.96,Incoherent,0.0,0
61,383,anonymous_annotator_2,NLI GPJ - NEU,0.96,Redundant,0.0,0
62,302,anonymous_annotator_1,NLI GPJ - NEU,0.4,Off-prompt,0.0,0
62,302,anonymous_annotator_1,NLI GPJ - NEU,0.4,Self-Contradiction,0.0,0
