master_index,index,p value,Prompt,Approach,Number of Generations,Generation,Final-Text,Number of Sentences,Generations per Sentence
11,11,0.4,"Police, the canine unit and members of the community began searching for Luke.",Vanilla GPTJ,1.00,"""We are very concerned for Luke's safety and well-being,"" said police spokeswoman Const. Julie Leon. Police said the boy was last seen at the park on the afternoon of Saturday, June 24. He was wearing a blue shirt and grey shorts.","Police, the canine unit and members of the community began searching for Luke. -|GEN|- ""We are very concerned for Luke's safety and well-being,"" said police spokeswoman Const. Julie Leon. Police said the boy was last seen at the park on the afternoon of Saturday, June 24. He was wearing a blue shirt and grey shorts.",4.00,-
12,12,0.4,"Nearly 4000 people were arrested for violating immigration laws in December, state media in Zimbabwe reported on Friday.",Vanilla GPTJ,1.00,"The arrests were made in the capital Harare and other cities, the state-run Herald newspaper said. The newspaper said the arrests were made by immigration officers and were part of a crackdown on illegal immigrants. The Herald said the arrests were made in December, and that some of the people arrested were from the Democratic Republic of Congo, Zambia and Malawi. The newspaper said some of the people arrested were from the Democratic Republic of Congo, Zambia and Malawi.","Nearly 4000 people were arrested for violating immigration laws in December, state media in Zimbabwe reported on Friday. -|GEN|- The arrests were made in the capital Harare and other cities, the state-run Herald newspaper said. The newspaper said the arrests were made by immigration officers and were part of a crackdown on illegal immigrants. The Herald said the arrests were made in December, and that some of the people arrested were from the Democratic Republic of Congo, Zambia and Malawi. The newspaper said some of the people arrested were from the Democratic Republic of Congo, Zambia and Malawi.",4.00,-
14,14,0.4,"Syracuse, NY -- A Jamesville man blasted a judge Thursday for allowing him to go to trial for murder without enough time to prepare and an inexperienced lawyer who didn’t even graduate high school.",Vanilla GPTJ,1.00,"“It’s not fair,” said Jameson “J.J.” James, 24, who was convicted of murder in the death of his former girlfriend, Jennifer Burt, in 2011. “I didn’t do anything”.","Syracuse, NY -- A Jamesville man blasted a judge Thursday for allowing him to go to trial for murder without enough time to prepare and an inexperienced lawyer who didn’t even graduate high school. -|GEN|- “It’s not fair,” said Jameson “J.J.” James, 24, who was convicted of murder in the death of his former girlfriend, Jennifer Burt, in 2011. “I didn’t do anything”.",2.00,-
15,15,0.4,"By the time the brass band came out blaring Bella, Ciao, the wooden floor was heaving under the weight of hundreds of revellers.",Vanilla GPTJ,1.00,"The music was deafening, the laughter and chatter deafening. I was at the front, standing next to the band, a bottle of red wine in my hand. I was surrounded by friends and colleagues, and I was happy. I had never felt so happy in my life. I was with my boyfriend, the man I had been with for three years. We had been together for a long time, but we had never really been a couple.","By the time the brass band came out blaring Bella, Ciao, the wooden floor was heaving under the weight of hundreds of revellers. -|GEN|- The music was deafening, the laughter and chatter deafening. I was at the front, standing next to the band, a bottle of red wine in my hand. I was surrounded by friends and colleagues, and I was happy. I had never felt so happy in my life. I was with my boyfriend, the man I had been with for three years. We had been together for a long time, but we had never really been a couple.",6.00,-
16,16,0.4,"It’s 5 a.m. and 20 bunk beds, separated by a walkway and individual curtains, are quiet—mostly.",Vanilla GPTJ,1.00,"A few kids are snoring, but most are awake and chatting quietly. The air is heavy with the smell of sweat and a faint hint of marijuana. It’s a typical scene at the YMCA of Greater Houston, where about a dozen teens from the city’s most troubled neighborhoods are living in a converted gym. The kids are in the “Youth Leadership Program,” a six-month program designed to help them develop skills and confidence.","It’s 5 a.m. and 20 bunk beds, separated by a walkway and individual curtains, are quiet—mostly. -|GEN|- A few kids are snoring, but most are awake and chatting quietly. The air is heavy with the smell of sweat and a faint hint of marijuana. It’s a typical scene at the YMCA of Greater Houston, where about a dozen teens from the city’s most troubled neighborhoods are living in a converted gym. The kids are in the “Youth Leadership Program,” a six-month program designed to help them develop skills and confidence.",4.00,-
17,17,0.4,"Victoria Beckham caused a stir yesterday when she shared an image of her avocado toast, served up on slices from a £6 loaf of bread.",Vanilla GPTJ,1.00,"The 33-year-old mother-of-four posted the picture of her breakfast on Instagram, with the caption: 'Breakfast is the most important meal of the day. 'I love this bread from @homespunbakery in @london. It's the perfect bread for avocado toast. It's so soft and light. It's also gluten free and vegan.","Victoria Beckham caused a stir yesterday when she shared an image of her avocado toast, served up on slices from a £6 loaf of bread. -|GEN|- The 33-year-old mother-of-four posted the picture of her breakfast on Instagram, with the caption: 'Breakfast is the most important meal of the day. 'I love this bread from @homespunbakery in @london. It's the perfect bread for avocado toast. It's so soft and light. It's also gluten free and vegan.",5.00,-
18,18,0.4,"Meghan Markle has left Britain, it has emerged, flying to Canada to reunite with her and Prince Harry’s 8-month-old son, Archie.",Vanilla GPTJ,1.00,"The Duchess of Sussex has flown to Toronto, where she will join her husband, Prince Harry, and Archie, who is due to be christened on Saturday. The couple are expected to spend the next few days with the newborn before returning to the UK. The Duke and Duchess of Sussex have flown to Canada to reunite with their 8-month-old son, Archie.","Meghan Markle has left Britain, it has emerged, flying to Canada to reunite with her and Prince Harry’s 8-month-old son, Archie. -|GEN|- The Duchess of Sussex has flown to Toronto, where she will join her husband, Prince Harry, and Archie, who is due to be christened on Saturday. The couple are expected to spend the next few days with the newborn before returning to the UK. The Duke and Duchess of Sussex have flown to Canada to reunite with their 8-month-old son, Archie.",3.00,-
19,19,0.4,Gary Anderson was beaten by Adrian Lewis in the 2011 final. Gary Anderson beat 16-time champion Phil Taylor 7-6 in a thrilling final to win his first PDC World Championship.,Vanilla GPTJ,1.00,"The first match of the final was the best of the first three legs. Lewis led 3-0, but Anderson clawed back to 3-3. Lewis then missed a dart at double 16 to go 4-3 down, and Anderson hit a 180 to level the match. Lewis missed two darts at double top to go 5-4 down, and Anderson took the next two legs to win the match and the title.","Gary Anderson was beaten by Adrian Lewis in the 2011 final. Gary Anderson beat 16-time champion Phil Taylor 7-6 in a thrilling final to win his first PDC World Championship. -|GEN|- The first match of the final was the best of the first three legs. Lewis led 3-0, but Anderson clawed back to 3-3. Lewis then missed a dart at double 16 to go 4-3 down, and Anderson hit a 180 to level the match. Lewis missed two darts at double top to go 5-4 down, and Anderson took the next two legs to win the match and the title.",4.00,-
20,20,0.4,"Fast food diners can be encouraged to make healthier choices by changing the position of items on the menu, a study has found.",Vanilla GPTJ,1.00,"Researchers found that when fast food restaurants placed healthy options at the front of the menu, people were more likely to choose them. The findings, published in the journal Appetite, suggest that people are more likely to choose healthier options when they are more prominent on the menu. Fast food restaurants can be encouraged to make healthier choices by changing the position of items on the menu, a study has found.","Fast food diners can be encouraged to make healthier choices by changing the position of items on the menu, a study has found. -|GEN|- Researchers found that when fast food restaurants placed healthy options at the front of the menu, people were more likely to choose them. The findings, published in the journal Appetite, suggest that people are more likely to choose healthier options when they are more prominent on the menu. Fast food restaurants can be encouraged to make healthier choices by changing the position of items on the menu, a study has found.",3.00,-
21,21,0.4,"All-inclusive: Morocco, Costa Brava, Split and The Canary Islands are among the locations listed. Luckily, all-inclusive holiday deals can help mitigate these issues, as they provide all the amenities and adventures in one.",Vanilla GPTJ,1.00,"These packages often include all the meals, activities, and entertainment you’ll need for a great vacation. The best all-inclusive resorts are often found in warm climates, where you can enjoy a swim in the ocean or a dip in the pool. These resorts are often located on a beach, and offer a wide range of activities.","All-inclusive: Morocco, Costa Brava, Split and The Canary Islands are among the locations listed. Luckily, all-inclusive holiday deals can help mitigate these issues, as they provide all the amenities and adventures in one. -|GEN|- These packages often include all the meals, activities, and entertainment you’ll need for a great vacation. The best all-inclusive resorts are often found in warm climates, where you can enjoy a swim in the ocean or a dip in the pool. These resorts are often located on a beach, and offer a wide range of activities.",3.00,-
22,22,0.4,Dominga Velasco Rodriguez doesn’t remember a time when she didn’t know how to make mole.,Vanilla GPTJ,1.00,"The Mexican-born chef has been making mole for more than two decades, and she’s been cooking it for her family since she was a child. “I was always making it,” she said. “It’s like a tradition”. Velasco Rodriguez’s family has been making mole for generations.","Dominga Velasco Rodriguez doesn’t remember a time when she didn’t know how to make mole. -|GEN|- The Mexican-born chef has been making mole for more than two decades, and she’s been cooking it for her family since she was a child. “I was always making it,” she said. “It’s like a tradition”. Velasco Rodriguez’s family has been making mole for generations.",4.00,-
23,23,0.4,"The World Tourism Organization (UNWTO) has selected the finalists of the 2nd Global Tourism Startup Competition, an initiative that the two entities have been working on since 2018 when its first edition was held.",Vanilla GPTJ,1.00,"The competition is a platform for tourism startups to showcase their products and services to the world, and to be selected as finalists is a great opportunity for them to be part of the UNWTO’s global network.","The World Tourism Organization (UNWTO) has selected the finalists of the 2nd Global Tourism Startup Competition, an initiative that the two entities have been working on since 2018 when its first edition was held. -|GEN|- The competition is a platform for tourism startups to showcase their products and services to the world, and to be selected as finalists is a great opportunity for them to be part of the UNWTO’s global network.",1.00,-
24,24,0.4,Oat milk is the latest vegan innovation to sweep Worcester and it’s actually sort of tasty.,Vanilla GPTJ,1.00,"The milk is made from oats and has a similar taste to soy milk, according to the company. “We’re excited to be able to offer a plant-based milk that is dairy-free, gluten-free, soy-free, nut-free, and can be used in any recipe that calls for dairy milk,” said co-founder and CEO of Oatly, David Kinchin.","Oat milk is the latest vegan innovation to sweep Worcester and it’s actually sort of tasty. -|GEN|- The milk is made from oats and has a similar taste to soy milk, according to the company. “We’re excited to be able to offer a plant-based milk that is dairy-free, gluten-free, soy-free, nut-free, and can be used in any recipe that calls for dairy milk,” said co-founder and CEO of Oatly, David Kinchin.",2.00,-
25,0,0.96,"From Brittany in the north to the Spanish border in the south, there are miles of charming spots to discover on the Atlantic coast in France.",Vanilla GPTJ,1.00,"Discover the best of the French Riviera from Nice to Antibes with discoverles-france.com. The Mediterranean coast is often referred to as the Côte d'Azur, and while Nice and Monaco are known as the Côte d'Azur's resorts, there are plenty of other towns and villages in France to explore.","From Brittany in the north to the Spanish border in the south, there are miles of charming spots to discover on the Atlantic coast in France. -|GEN|- Discover the best of the French Riviera from Nice to Antibes with discoverles-france.com. The Mediterranean coast is often referred to as the Côte d'Azur, and while Nice and Monaco are known as the Côte d'Azur's resorts, there are plenty of other towns and villages in France to explore.",2.00,-
26,1,0.96,"After the week we’ve seen, there’s no telling what might come next in Iran, no telling exactly what Iran’s leaders or ours have in mind.",Vanilla GPTJ,1.00,"And yet, somehow, as Iran escalates its rhetoric and provocations, some continue to push the “war is coming” narrative that we all heard in the Bush years, the very notion of preventive war now pushed to the extreme.","After the week we’ve seen, there’s no telling what might come next in Iran, no telling exactly what Iran’s leaders or ours have in mind. -|GEN|- And yet, somehow, as Iran escalates its rhetoric and provocations, some continue to push the “war is coming” narrative that we all heard in the Bush years, the very notion of preventive war now pushed to the extreme.",1.00,-
27,2,0.96,"Making mole from scratch is traditionally a large-batch, multiday project — something most of us don’t have time to regularly tackle.",Vanilla GPTJ,1.00,That’s why most of us rely on premade “kit” mixes. But what if you’re not a fan of that and would like to experiment with more natural ingredients like honey and butter for a homemade version? Let’s take a look at how to do it:  What Is The Perfect Moisturing Formula?,"Making mole from scratch is traditionally a large-batch, multiday project — something most of us don’t have time to regularly tackle. -|GEN|- That’s why most of us rely on premade “kit” mixes. But what if you’re not a fan of that and would like to experiment with more natural ingredients like honey and butter for a homemade version? Let’s take a look at how to do it:  What Is The Perfect Moisturing Formula?",3.00,-
29,4,0.96,Cheetos fans who've finished snacking have been licking orange cheese dust residue off their fingers for decades.,Vanilla GPTJ,1.00,"Well, some of you have anyway. For me? It took just a few seconds to realise I'm never going to eat Cheetos ever again. The problem here is that what started as an easy snack for me became an addiction. But one to never feed. They are too cheap, too cheap, too cheap. You know that sound they make when you bite in? It's like music. As soon as I found out what they were they were mine.","Cheetos fans who've finished snacking have been licking orange cheese dust residue off their fingers for decades. -|GEN|- Well, some of you have anyway. For me? It took just a few seconds to realise I'm never going to eat Cheetos ever again. The problem here is that what started as an easy snack for me became an addiction. But one to never feed. They are too cheap, too cheap, too cheap. You know that sound they make when you bite in? It's like music. As soon as I found out what they were they were mine.",9.00,-
30,5,0.96,"ELYRIA, Ohio – Two Elyria officers suffered minor injuries after a driver rammed their cruisers early Sunday, police said.",Vanilla GPTJ,1.00,"Officer Timothy E. Toth and Officer Jeff J. Sargent were dispatched to a residence near the 600 block of Woodshire Boulevard on a report of a reckless driving incident around 2:20 a.m.  The drivers fled the scene, according to police. The officers were not struck and their cruisers were not damaged.","ELYRIA, Ohio – Two Elyria officers suffered minor injuries after a driver rammed their cruisers early Sunday, police said. -|GEN|- Officer Timothy E. Toth and Officer Jeff J. Sargent were dispatched to a residence near the 600 block of Woodshire Boulevard on a report of a reckless driving incident around 2:20 a.m.  The drivers fled the scene, according to police. The officers were not struck and their cruisers were not damaged.",2.00,-
31,6,0.96,"Monitoring Desk RIYADH: Saudi Arabia’s decision to allow US, UK or Schengen visa holders to obtain a visa on arrival in the Kingdom will help to boost the tourism sector and the country’s economy, according to business insiders.",Vanilla GPTJ,1.00,"The decision that was taken by the Saudi government in April to allow any non-residential non-Muslim to apply for a visa on arrival, is expected to help Saudi Arabia attract more foreign tourists.","Monitoring Desk RIYADH: Saudi Arabia’s decision to allow US, UK or Schengen visa holders to obtain a visa on arrival in the Kingdom will help to boost the tourism sector and the country’s economy, according to business insiders. -|GEN|- The decision that was taken by the Saudi government in April to allow any non-residential non-Muslim to apply for a visa on arrival, is expected to help Saudi Arabia attract more foreign tourists.",1.00,-
32,7,0.96,"ROCKY RIVER, Ohio -- A Rocky River Municipal Court judge convicted a 27-year-old motorist who almost struck a student and crossing guard in October last year.",Vanilla GPTJ,1.00,"Josiah Guffey, 27, of Rocky River, was ordered by Judge James A. McCartt to pay $1,000 in restitution plus court costs to pay for the damages to the crossing guard's automobile. Guffey, who was driving a 2003 Honda Element, was driving north on E. 117th Ave.","ROCKY RIVER, Ohio -- A Rocky River Municipal Court judge convicted a 27-year-old motorist who almost struck a student and crossing guard in October last year. -|GEN|- Josiah Guffey, 27, of Rocky River, was ordered by Judge James A. McCartt to pay $1,000 in restitution plus court costs to pay for the damages to the crossing guard's automobile. Guffey, who was driving a 2003 Honda Element, was driving north on E. 117th Ave.",2.00,-
33,8,0.96,"Monitoring Desk Traveling and living abroad sounds exciting, but not if it puts you in piles of debt.",Vanilla GPTJ,1.00,"You need to make sure that your credit cards are in order before you get started, so that you can keep your finances afloat. By Sandy on Apr 10, 2010  Traveling and living abroad sounds exciting, but not if it puts you in piles of debt. You need to make sure that your credit cards are in order before you get started, so that you can keep your finances afloat.","Monitoring Desk Traveling and living abroad sounds exciting, but not if it puts you in piles of debt. -|GEN|- You need to make sure that your credit cards are in order before you get started, so that you can keep your finances afloat. By Sandy on Apr 10, 2010  Traveling and living abroad sounds exciting, but not if it puts you in piles of debt. You need to make sure that your credit cards are in order before you get started, so that you can keep your finances afloat.",3.00,-
34,9,0.96,"Syracuse, NY -- A criminal case against Onondaga County legislator Julie Abbott-Kenan has been sent to a confidential domestic violence court and likely will result in no public criminal record.",Vanilla GPTJ,1.00,"But with no public record of the conviction, Abbott-Kenan’s opponent in the fall general election, Republican Tim Kennedy, insists Abbott-Kenan cannot serve if she wins.","Syracuse, NY -- A criminal case against Onondaga County legislator Julie Abbott-Kenan has been sent to a confidential domestic violence court and likely will result in no public criminal record. -|GEN|- But with no public record of the conviction, Abbott-Kenan’s opponent in the fall general election, Republican Tim Kennedy, insists Abbott-Kenan cannot serve if she wins.",1.00,-
35,10,0.96,"With its annual list of 52 international destinations, The New York Times once again encourages readers to travel to Peru in 2020.",Vanilla GPTJ,1.00,"However, in this year, I strongly advise against visiting the country because the outbreak of a new deadly virus – COVID-19 – has been rapidly spreading, affecting even tourists in the country.","With its annual list of 52 international destinations, The New York Times once again encourages readers to travel to Peru in 2020. -|GEN|- However, in this year, I strongly advise against visiting the country because the outbreak of a new deadly virus – COVID-19 – has been rapidly spreading, affecting even tourists in the country.",1.00,-
36,11,0.96,"Police, the canine unit and members of the community began searching for Luke.",Vanilla GPTJ,1.00,"He was reported missing in the area near the North Shore of Boston around 2 a.m. on Monday. His remains were found Tuesday afternoon. A dog on the run. According to court documents, Luke's owner had told police that she had received several calls from her son in which he informed her that he had been drinking heavily over the weekend. At one point she told him he was not allowed to drive the truck, but he did anyway and crashed it into a tree.","Police, the canine unit and members of the community began searching for Luke. -|GEN|- He was reported missing in the area near the North Shore of Boston around 2 a.m. on Monday. His remains were found Tuesday afternoon. A dog on the run. According to court documents, Luke's owner had told police that she had received several calls from her son in which he informed her that he had been drinking heavily over the weekend. At one point she told him he was not allowed to drive the truck, but he did anyway and crashed it into a tree.",5.00,-
37,12,0.96,"Nearly 4000 people were arrested for violating immigration laws in December, state media in Zimbabwe reported on Friday.",Vanilla GPTJ,1.00,"The government said it seized around Z$10 million ($200,000) worth of currency and a considerable amount of gold bars in December. It accused criminals of smuggling money. The Herald newspaper reported that around 1,300 Zimbabweans were arrested for entering the country illegally through the neighbouring South Africa. South Africa denies accusations of aiding the illegal immigration of Zimbabweans.","Nearly 4000 people were arrested for violating immigration laws in December, state media in Zimbabwe reported on Friday. -|GEN|- The government said it seized around Z$10 million ($200,000) worth of currency and a considerable amount of gold bars in December. It accused criminals of smuggling money. The Herald newspaper reported that around 1,300 Zimbabweans were arrested for entering the country illegally through the neighbouring South Africa. South Africa denies accusations of aiding the illegal immigration of Zimbabweans.",4.00,-
39,14,0.96,"Syracuse, NY -- A Jamesville man blasted a judge Thursday for allowing him to go to trial for murder without enough time to prepare and an inexperienced lawyer who didn’t even graduate high school.",Vanilla GPTJ,1.00,John L. Cugini Jr. also called Syracuse District Attorney William Fitzpatrick “a clown” and his legal team “worse than a joke”.,"Syracuse, NY -- A Jamesville man blasted a judge Thursday for allowing him to go to trial for murder without enough time to prepare and an inexperienced lawyer who didn’t even graduate high school. -|GEN|- John L. Cugini Jr. also called Syracuse District Attorney William Fitzpatrick “a clown” and his legal team “worse than a joke”.",1.00,-
40,15,0.96,"By the time the brass band came out blaring Bella, Ciao, the wooden floor was heaving under the weight of hundreds of revellers.",Vanilla GPTJ,1.00,"My hand was on the small of Maria's back, the warmth from her body sending warmth through me. She stood behind me, still looking after our son, who was laughing and clapping at a woman, not me, as she took his hand. He had asked me to choose a woman, and I chose Maria for the pleasure of her company. She had been very kind in his life before she met me. I was now trying to be kind to her too.","By the time the brass band came out blaring Bella, Ciao, the wooden floor was heaving under the weight of hundreds of revellers. -|GEN|- My hand was on the small of Maria's back, the warmth from her body sending warmth through me. She stood behind me, still looking after our son, who was laughing and clapping at a woman, not me, as she took his hand. He had asked me to choose a woman, and I chose Maria for the pleasure of her company. She had been very kind in his life before she met me. I was now trying to be kind to her too.",5.00,-
41,16,0.96,"It’s 5 a.m. and 20 bunk beds, separated by a walkway and individual curtains, are quiet—mostly.",Vanilla GPTJ,1.00,"Outside the room, 10 girls sleep. In the bed on the right, 13-year-old Dasha is dreaming of a boy her age named Lek. The boy sits on a chair, and she stands behind him. Then he lays down. Then she sits on his face and kisses him. Then a man and a woman enter the room, separate the boy and Dasha, and tell Dasha to tell the boy he is Lek’s boyfriend.","It’s 5 a.m. and 20 bunk beds, separated by a walkway and individual curtains, are quiet—mostly. -|GEN|- Outside the room, 10 girls sleep. In the bed on the right, 13-year-old Dasha is dreaming of a boy her age named Lek. The boy sits on a chair, and she stands behind him. Then he lays down. Then she sits on his face and kisses him. Then a man and a woman enter the room, separate the boy and Dasha, and tell Dasha to tell the boy he is Lek’s boyfriend.",6.00,-
42,17,0.96,"Victoria Beckham caused a stir yesterday when she shared an image of her avocado toast, served up on slices from a £6 loaf of bread.",Vanilla GPTJ,1.00,"The ‘selfie’ attracted more than 8.8 million likes, so what’s the fuss about? Here’s why avocado toast is here to stay:  People are eating it, for one. Avocado toast has now become the latest fashion trend, with celebrities sharing their meals on Instagram to millions of social media followers.","Victoria Beckham caused a stir yesterday when she shared an image of her avocado toast, served up on slices from a £6 loaf of bread. -|GEN|- The ‘selfie’ attracted more than 8.8 million likes, so what’s the fuss about? Here’s why avocado toast is here to stay:  People are eating it, for one. Avocado toast has now become the latest fashion trend, with celebrities sharing their meals on Instagram to millions of social media followers.",3.00,-
43,18,0.96,"Meghan Markle has left Britain, it has emerged, flying to Canada to reunite with her and Prince Harry’s 8-month-old son, Archie.",Vanilla GPTJ,1.00,"The former American actress and style icon – who is about to give birth to the couple’s second child – is reportedly planning to make the move following the birth and to ensure the safety of her baby. According to US media outlets, Meghan will join the Duke and Duchess of Sussex in Canada from next week, where they are currently filming the second series of their US tour.","Meghan Markle has left Britain, it has emerged, flying to Canada to reunite with her and Prince Harry’s 8-month-old son, Archie. -|GEN|- The former American actress and style icon – who is about to give birth to the couple’s second child – is reportedly planning to make the move following the birth and to ensure the safety of her baby. According to US media outlets, Meghan will join the Duke and Duchess of Sussex in Canada from next week, where they are currently filming the second series of their US tour.",2.00,-
